epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.163956642,0.931747556,0.516087115,0.655251682
2,0.870709002,0.804558277,0.668570638,0.690051317
3,0.787687182,0.764046192,0.701987147,0.718346834
4,0.729180455,0.731816173,0.734809518,0.734827995
5,0.693788767,0.733024895,0.750944138,0.725754082
6,0.679673016,0.678937316,0.758308589,0.753802717
7,0.629129767,0.62921536,0.781238079,0.781277478
8,0.604994655,0.583198488,0.790673971,0.799595296
9,0.580303133,0.596837282,0.800605834,0.788575947
10,0.568550825,0.576446831,0.804559529,0.80502063
11,0.569133043,0.587167561,0.805186212,0.807091236
12,0.542836845,0.586727858,0.815775871,0.793145955
13,0.516246378,0.621700406,0.822405994,0.779404819
14,0.596113324,0.554955184,0.796271265,0.808886588
15,0.53154695,0.526595891,0.817156196,0.820713162
16,0.496295094,0.507088065,0.829322219,0.827167451
17,0.497795731,0.523038626,0.827936053,0.82047987
18,0.487566978,0.536081553,0.832861602,0.817910254
19,0.474707782,0.540504396,0.835894465,0.823100388
20,0.472272426,0.487289608,0.836444736,0.834101021
21,0.456787407,0.553024769,0.841665685,0.813904464
22,0.450300276,0.502550006,0.843981981,0.832403123
23,0.447885543,0.505616546,0.844241858,0.834933162
24,0.437784135,0.491835028,0.848350823,0.837553084
25,0.43806693,0.51135087,0.847155929,0.829057872
26,0.446921468,0.484488457,0.844734132,0.837803364
27,0.43176952,0.535643935,0.849893391,0.827687681
28,0.423149139,0.464835316,0.851955652,0.843730569
29,0.428795427,0.503300548,0.850417256,0.838243186
30,0.416491717,0.487673759,0.854425907,0.838661313
31,0.414009422,0.467409372,0.854682982,0.844684243
32,0.409756213,0.453299135,0.855957389,0.849389195
33,0.409093887,0.47738409,0.855664492,0.839669287
34,0.398725539,0.477433354,0.859379411,0.843114793
35,0.39626205,0.475117117,0.860273898,0.844118416
36,0.394129366,0.459311396,0.86046195,0.850759089
37,0.38744837,0.47045961,0.8613922,0.844139099
38,0.379861295,0.49276343,0.865070105,0.846063912
39,0.388745308,0.454133779,0.861590624,0.845073044
40,0.381332368,0.46018827,0.863365352,0.842825949
41,0.375630349,0.50660187,0.865297735,0.83769989
42,0.374189258,0.473725617,0.866494417,0.846907794
43,0.372729897,0.481365234,0.866312683,0.841921747
44,0.384481877,0.475583255,0.861751974,0.843997359
45,0.444902748,0.490387648,0.845658898,0.84312135
46,0.371374965,0.461701632,0.867550373,0.848255813
47,0.365413755,0.448293298,0.869047582,0.852975368
48,0.354322165,0.45074296,0.872902632,0.852743685
49,0.345803618,0.478951305,0.875597179,0.849211931
50,0.339932024,0.464690894,0.877258539,0.850602508
51,0.343102574,0.444715977,0.876122534,0.856512666
52,0.337242335,0.442319304,0.878167927,0.853986621
53,0.332101285,0.468964905,0.879951894,0.84873116
54,0.320691764,0.48126635,0.883841634,0.85514003
55,0.318756729,0.486006945,0.884035885,0.851146996
56,0.324727267,0.453394949,0.881836414,0.851707458
57,0.369205534,0.447953224,0.868902147,0.847715974
58,0.346823335,0.437715024,0.874968946,0.855572343
59,0.317573577,0.459370482,0.884368539,0.853469729
60,0.30858472,0.447603216,0.887403309,0.855069995
61,0.306095958,0.449061822,0.888293505,0.857596695
62,0.308958977,0.433688998,0.88746506,0.861012638
63,0.30272612,0.439250221,0.889926612,0.860847592
64,0.293017417,0.448195708,0.892710865,0.856146812
65,0.30186224,0.42090209,0.889365733,0.851895511
66,0.28763777,0.420437729,0.894868374,0.850910902
67,0.28419885,0.435962498,0.895780087,0.859945476
68,0.291136801,0.421409379,0.893106103,0.860549271
69,0.278663576,0.418712349,0.898035467,0.857053876
70,0.280609697,0.439065158,0.897804797,0.861412942
71,0.272581935,0.428062023,0.899316669,0.855991662
72,0.27446714,0.420539248,0.899486244,0.856976449
73,0.268845826,0.390629524,0.901111364,0.855979562
74,0.260798603,0.386472964,0.904019892,0.856403828
75,0.285278022,0.3692837,0.895613074,0.846552551
76,0.342895472,0.380992675,0.884015465,0.846094489
77,0.303435832,0.365348482,0.889941454,0.854651034
78,0.271172613,0.365796828,0.900893867,0.85682267
79,0.259409755,0.350380892,0.90467757,0.860990703
80,0.258697629,0.304755139,0.90453887,0.853915274
81,0.25263837,0.373647982,0.906931937,0.862808585
82,0.254487932,0.370594883,0.906045377,0.860170126
83,0.242647186,0.374384308,0.910282612,0.859824419
84,0.239506334,0.377183938,0.911229253,0.855223119
85,0.23997122,0.370282435,0.910987914,0.861121237
86,0.238773271,0.380096728,0.911767423,0.85860312
87,0.240730464,0.403205299,0.911178946,0.861386776
88,0.238797024,0.362575972,0.911378503,0.863200366
89,0.228435457,0.377521181,0.91488111,0.862400115
90,0.229116693,0.363377804,0.91507262,0.865254462
91,0.227866441,0.409376466,0.915035367,0.859831274
92,0.223810494,0.393371367,0.916773915,0.86338681
93,0.224161193,0.380312407,0.916458726,0.863407552
94,0.227486357,0.410451555,0.915659249,0.860673726
95,0.221695632,0.394539052,0.917409182,0.861095667
96,0.227012277,0.363317066,0.915421069,0.86171186
97,0.216602847,0.352925873,0.919178605,0.860780656
98,0.214820191,0.390877062,0.919568062,0.86592716
99,0.21348317,0.378410761,0.920064569,0.859816253
100,0.221993089,0.351368368,0.916747272,0.862056553
